Sweep, M, |M|
356, 0.750000, 0.750000
357, -0.875000, 0.875000
358, -0.500000, 0.500000
359, 0.625000, 0.625000
360, -0.625000, 0.625000
361, 0.250000, 0.250000
362, 0.250000, 0.250000
363, 0.250000, 0.250000
364, -0.250000, 0.250000
365, -0.375000, 0.375000
366, -0.250000, 0.250000
367, -0.500000, 0.500000
368, 0.625000, 0.625000
369, -0.875000, 0.875000
370, -0.125000, 0.125000
371, -0.375000, 0.375000
372, -0.625000, 0.625000
373, 0.500000, 0.500000
374, -0.375000, 0.375000
375, 0.375000, 0.375000
376, -0.250000, 0.250000
377, 0.375000, 0.375000
378, -0.125000, 0.125000
379, 0.125000, 0.125000
380, 0.375000, 0.375000
381, -0.125000, 0.125000
382, -0.375000, 0.375000
383, 0.625000, 0.625000
384, 0.625000, 0.625000
385, -0.250000, 0.250000
386, 0.125000, 0.125000
387, 0.125000, 0.125000
388, 0.000000, 0.000000
389, 0.125000, 0.125000
390, -0.250000, 0.250000
391, -0.375000, 0.375000
392, -0.250000, 0.250000
393, -0.125000, 0.125000
394, -0.375000, 0.375000
395, -0.125000, 0.125000
396, 0.125000, 0.125000
397, -0.125000, 0.125000
398, 0.500000, 0.500000
399, 0.375000, 0.375000
400, 0.500000, 0.500000
401, 0.000000, 0.000000
402, 0.125000, 0.125000
403, 0.375000, 0.375000
404, 0.250000, 0.250000
405, 0.250000, 0.250000
406, -0.125000, 0.125000
407, -0.125000, 0.125000
408, -0.875000, 0.875000
409, 0.500000, 0.500000
410, -0.250000, 0.250000
411, -0.500000, 0.500000
412, 0.500000, 0.500000
413, -0.375000, 0.375000
414, -0.375000, 0.375000
415, 0.250000, 0.250000
416, 0.875000, 0.875000
417, 0.375000, 0.375000
418, -0.375000, 0.375000
419, 0.250000, 0.250000
420, 0.000000, 0.000000
421, -0.500000, 0.500000
422, -0.375000, 0.375000
423, -0.250000, 0.250000
424, -0.250000, 0.250000
425, 0.625000, 0.625000
426, 0.625000, 0.625000
427, -0.125000, 0.125000
